Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Similar Morphological and Functional Training Adaptations Occur Between Continuous and Intermittent Blood Flow Restriction.","Davids, Charlie J.; Raastad, Truls; James, Lachlan P.; Gajanand, Trishan; Smith, Emily; Connick, Mark; McGorm, Hamish; Keating, Shelley; Coombes, Jeff S.; Peake, Jonathan M.; Roberts, Llion A.","Journal of Strength & Conditioning Research",="10648011",,="20210701","35","7","1784","10","151598625",,,"Article","SKELETAL muscle physiology; RESISTANCE training; EXERCISE tests; SKELETAL muscle; MUSCLE contraction; MYALGIA; EXERCISE physiology; MUSCULAR hypertrophy; PHYSICAL fitness; MUSCLE strength; COMPUTED tomography; JUMPING; BLOOD flow restriction training; RANDOMIZED controlled trials; PRE-tests & post-tests; STATISTICAL sampling",,"The aim of the study was to compare skeletal muscle morphological and functional outcomes after low-load resistance training using 2 differing blood flow restriction (BFR) protocols. Recreationally active men and women (n 5 42 [f 5 21], 24.4 6 4.4 years) completed 21 sessions over 7 weeks of load-matched and volume-matched low-load resistance training (30% 1 repetition maximum [1RM]) with either (a) no BFR (CON), (b) continuous BFR (BFR-C, 60% arterial occlusion pressure [AOP]), or (c) intermittent BFR (BFR-I, 60% AOP). Muscle mass was assessed using peripheral quantitative computed tomography before and after training. Muscular strength, endurance, and power were determined before and after training by assessing isokinetic dynamometry, 1RM, and jump performance. Ratings of pain and effort were taken in the first and final training session. An alpha level of p,0.05 was used to determine significance. There were no between-group differences for any of the morphological or functional variables. The muscle cross sectional area (CSA) increased pre-post training (p 5 0.009; CON: 1.6%, BFR-C: 1.1%, BFR-I: 2.2%). Maximal isometric strength increased pre-post training (p, 0.001; CON: 9.6%, BFR-C: 14.3%, BFR-I: 19.3%). Total work performed during an isokinetic endurance task increased pre-post training (p, 0.001, CON: 3.6%, BFR-C: 9.6%, BFR-I: 11.3%). Perceptions of pain (p50.026) and effort (p50.033) during exercise were higher with BFR-C; however, these reduced with training (p 5 0.005–0.034). Overall, these data suggest that when 30% 1RM loads are used with a frequency of 3 times per week, the addition of BFR does not confer superior morphological or functional adaptations in recreationally active individuals. Furthermore, the additional metabolic stress that is proposed to occur with a continuous BFR protocol does not seem to translate into proportionally greater training adaptations. The current findings promote the use of both intermittent BFR and low-load resistance training without BFR as suitable alternative training methods to continuous BFR. These approaches may be practically applicable for those less tolerable to pain and discomfort associated with ischemia during exercise. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=151598625&site=ehost-live"
"Single muscle fiber function with concurrent exercise or nutrition countermeasures during 60 days of bed rest in women.","Trappe, Scott; Creer, Andrew; Slivka, Dustin; Minchev, Kiril; Trappe, Todd","Journal of Applied Physiology",="87507587",,="20071001","103","4","1242","9","27597587",,,"Article","MUSCLES; MUSCULAR atrophy; EXERCISE; HIGH-protein diet; NUTRITION; MYOSIN; BED rest",,"There is limited information on skeletal muscle properties in women with unloading and counter-measure programs to protect the unloading-induced atrophy. The current investigation tested the hypothesis that a concurrent aerobic and resistance exercise training program would preserve size and contractile function of slow- and fast-twitch muscle fibers. A secondary objective was to test the hypothesis that a leucine-enriched high-protein diet would partially attenuate single fiber characteristics. Vastus lateralis muscle biopsies were obtained before and on day 59 of bed rest from a control (BR; n = 8), nutrition (BRN; n = 8), or exercise (BRE; n = 8) group. Single muscle fibers were studied for diameter, peak force (Po), contractile velocity, and power. Those in the BR group had a decrease (P < 0.05) in myosin heavy chain (MHC) I diameter (-14%), Po (-35%), and power (-42%) and MHC IIa diameter (-16%) and Po (-31%; P = 0.06) and an increase (P < 0.05) in MHC hybrid fibers. Changes in size and function of MHC I (-19 to -44%) and ha (-21% to -30%) fibers and MHC distribution in BRN individuals were similar to results in the BR group. In BRE conditions, MHC I and IIa size and contractile function were preserved during bed rest. These data show that the concurrent exercise program preserved the myocellular profile of the vastus lateralis muscle during 60-day bed rest. To combat muscle atrophy and function with long-term unloading, the exercise prescription program used in this study should be considered as a viable training program for the upper leg muscles, whereas the nutritional intervention used cannot be recommended as a countermeasure for skeletal muscle. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=27597587&site=ehost-live"
"Single Versus Combined Cognitive and Physical Activity Effects on Fluid Cognitive Abilities of Healthy Older Adults: A 4-Month Randomized Controlled Trial With Follow-Up.","Linde, Katja; Alfermann, Dorothee","Journal of Aging & Physical Activity",="10638652",,="20140701","22","3","302","12","96938750",,,"Article","PHYSICAL fitness; PHYSICAL activity; GERMANY; ANALYSIS of variance; CHI-squared test; COGNITIVE testing; PATIENT compliance; PATIENT psychology; PROBABILITY theory; QUESTIONNAIRES; STATISTICS; DATA analysis; RANDOMIZED controlled trials; REPEATED measures design; DATA analysis software; DESCRIPTIVE statistics; OLD age",,"Background: Physical and cognitive activity seems to be an effective strategy by which to promote age-sensitive fluid cognitive abilities in older adults. Method: In this randomized controlled trial, 70 healthy senior citizens (age 60-75) were allocated to a physical, cognitive, combined physical plus cognitive, and waiting control group. The trial assessed information processing speed, short-term memory, spatial relations, concentration, reasoning, and cognitive speed. Results: In contrast to the control group, the physical, cognitive, and combined training groups enhanced their concentration immediately after intervention. Only the physical training group showed improved concentration 3 months later. The combined training group displayed improved cognitive speed both immediately and three months after intervention. The cognitive training group displayed improved cognitive speed 3 months after intervention. Conclusions: Physical, cognitive, and combined physical plus cognitive activity can be seen as cognition-enrichment behaviors in healthy older adults that show different rather than equal intervention effects. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=96938750&site=ehost-live"
"Single Versus Combined Cognitive and Physical Activity Effects on Fluid Cognitive Abilities of Healthy Older Adults: A 4-Month Randomized Controlled Trial With Follow-Up.","Linde, Katja; Alfermann, Dorothee","Journal of Aging & Physical Activity",="10638652",,="20081101","22","3","302","12","107863186",,,"Journal Article",,,"Background: Physical and cognitive activity seems to be an effective strategy by which to promote age-sensitive fluid cognitive abilities in older adults. Method: In this randomized controlled trial, 70 healthy senior citizens (age 60-75) were allocated to a physical, cognitive, combined physical plus cognitive, and waiting control group. The trial assessed information processing speed, short-term memory, spatial relations, concentration, reasoning, and cognitive speed. Results: In contrast to the control group, the physical, cognitive, and combined training groups enhanced their concentration immediately after intervention. Only the physical training group showed improved concentration 3 months later. The combined training group displayed improved cognitive speed both immediately and three months after intervention. The cognitive training group displayed improved cognitive speed 3 months after intervention. Conclusions: Physical, cognitive, and combined physical plus cognitive activity can be seen as cognition-enrichment behaviors in healthy older adults that show different rather than equal intervention effects. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=107863186&site=ehost-live"
"Skeletal Muscle Adaptive Responses to Different Types of Short-Term Exercise Training and Detraining in Middle-Age Men.","CALLAHAN, MARCUS J.; PARR, EVELYN B.; SNIJDERS, TIM; CONCEIÇÃO, MIGUEL S.; RADFORD, BRIDGET E.; TIMMINS, RYAN G.; DEVLIN, BROOKE L.; HAWLEY, JOHN A.; CAMERA, DONNY M.","Medicine & Science in Sports & Exercise",="01959131",,="20211001","53","10","2023","14","153166868",,,"Article","SEDENTARY lifestyles; AEROBIC capacity; ENDURANCE sports training; SKELETAL muscle; MEN'S health; MUSCLES; EXERCISE physiology; PHYSICAL fitness; PHYSIOLOGICAL adaptation; HIGH-intensity interval training; LEAN body mass; RANDOMIZED controlled trials; PRE-tests & post-tests; DESCRIPTIVE statistics; STATISTICAL sampling; MIDDLE age",,"Introduction: Whether short-term, single-mode exercise training can improve physical fitness before a period of reduced physical activity (e.g., postsurgery recovery) is not well characterized in clinical populations or middle-age adults. We investigated skeletal muscle adaptive responses after endurance exercise training (ENT), high-intensity interval training (HIIT), or resistance exercise training (RET), and a subsequent period of detraining, in sedentary, middle-age men. Methods: Thirty-five sedentary men (39 ± 3 yr) were randomized to parallel groups and undertook 6 wk of either ENT (n = 12), HIIT (n = 12), or RET (n = 11) followed by 2.5 wk of detraining. Skeletal muscle fiber characteristics, body composition, muscle thickness, muscle strength, aerobic capacity, resting energy expenditure, and glucose homeostasis were assessed at baseline, and after exercise training and detraining. Results: Lean mass increased after RET and HIIT (+3.2% ± 1.6% and+1.6% ± 2.1%, P <0.05). Muscle strength (sum of leg press, leg extension, and bench press one-repetition maximums) increased after all training interventions (RET, +25% ± 5%; HIIT, +10% ± 5%; ENT, +7% ± 7%; P < 0.05). Aerobic capacity increased only after HIIT and ENT (+14% ± 7% and +11% ± 11%, P < 0.05). Type I and II muscle fiber size increased for all groups after training (main effect of time, P < 0.05). After a period of detraining, the gains in lean mass and maximal muscle strength were maintained in the RET and HIIT groups, but maximal aerobic capacity declined below posttraining levels in HIIT and ENT (P < 0.05). Conclusions: Six weeks of HIIT induced widespread adaptations before detraining in middle-age men. Exercise training-induced increases in aerobic capacity declined during 2.5 wk of detraining, but gains in lean mass and muscle strength were maintained. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=153166868&site=ehost-live"
"Skeletal Muscle Hypertrophy with Concurrent Exercise Training: Contrary Evidence for an Interference Effect.","Murach, Kevin; Bagley, James","Sports Medicine",="01121642",,="20160801","46","8","1029","11","117355309",,,"Article","PHYSIOLOGICAL adaptation; AEROBIC exercises; EXERCISE; EXERCISE physiology; HYPERTROPHY; MUSCLE strength; PROTEIN kinases; DIETARY proteins; RESISTANCE training; CELLULAR signal transduction; TIME",,"Over the last 30+ years, it has become axiomatic that performing aerobic exercise within the same training program as resistance exercise (termed concurrent exercise training) interferes with the hypertrophic adaptations associated with resistance exercise training. However, a close examination of the literature reveals that the interference effect of concurrent exercise training on muscle growth in humans is not as compelling as previously thought. Moreover, recent studies show that, under certain conditions, concurrent exercise may augment resistance exercise-induced hypertrophy in healthy human skeletal muscle. The purpose of this article is to outline the contrary evidence for an acute and chronic interference effect of concurrent exercise on skeletal muscle growth in humans and provide practical literature-based recommendations for maximizing hypertrophy when training concurrently. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=117355309&site=ehost-live"
"Skeletal Muscle Insulin Resistance: Roles of Fatty Acid Metabolism and Exercise.","Turcotte, Lorraine P; Fisher, Jonathan S","Physical Therapy",="00319023",,="20081101","88","11","1279","18","35163766",,,"Article","INSULIN resistance; FATTY acids; EXERCISE physiology; LIPID metabolism; BLOOD sugar; PHYSIOLOGY; PREVENTION; LITERATURE reviews",,"The purpose of this review is to provide information about the role of exercise in the prevention of skeletal muscle insulin resistance, that is, the inability of insulin to properly cause glucose uptake into skeletal muscle. Insulin resistance is associated with high levels of stored lipids in skeletal muscle cells. Aerobic exercise training decreases the amounts of these lipid products and increases the lipid oxidative capacity of muscle cells. Thus, aerobic exercise training may prevent insulin resistance by correcting a mismatch between fatty acid uptake and fatty acid oxidation in skeletal muscle. Additionally, a single session of aerobic exercise increases glucose uptake by muscle during exercise, increases the ability of insulin to promote glucose uptake, and increases glycogen accumulation after exercise, all of which are important to blood glucose control. There also is some indication that resistance exercise may be effective in preventing insulin resistance. The information provided is intended to help clinicians understand and explain the roles of exercise in reducing insulin resistance. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=35163766&site=ehost-live"
"SOMATÓTIPO E IMAGEM CORPORAL EM PESSOAS VIVENDO COM HIV/AIDS.","de Medeiros, Danielle Coutinho; Galvão, Hunaway Albuquerque; de Melo, José Pereira; da Silva Cunha de Medeiros, Rafaela Catherine; da Silva, Tatiane Andreza Lima; Souza Silva, Carla Glenda; Silva Dantas, Paulo Moreira; de Medeiros, Jason Azevedo; de Sousa, Elys Costa","Revista Brasileira de Medicina do Esporte",="15178692",,="20160101","22","1","54","5","112863337",,,"Article",,,"Introduction: Highly active antiretroviral therapy (HAART ) is associated with the emergence of many adverse effects on the population with HIV/Aids, one of which is lipodystrophy. Characterized by abnormal fat reorganization throughout the body, it is one of the most significant effects, involving cardiometabolic risks and impaired body image. Objective: To analyze the somatotype and body image of people living with HIV/AIDS. Methods: The sample consisted of five women (47.8 ± 6.53 years), physically active and in use of HAART . An intervention with concurrent training and dietary counseling was performed, evaluating body shape by somatotype and body image by the scale of silhouettes. Results: There was no difference in the classification of somatotype, however, the results showed a significant difference for the analysis of dispersal distance between somatotypes (DDS) in the 1st week (DDS = 2.63) and 16th week of intervention (DDS = 2.96) when evaluated by means; when evaluated individually, there was a significant difference both in DDS and in spatial distance between somatotypes (DES) in case 1, in the 8th week (DDS = 3.20 and DES = 1.01) and 16th week (DDS = 2.73); and case 3, in the 1st week (DDS = 9.25 and DES = 1.44) and 16th week (DDS = 8.06 and DES = 1.37). In relation to body image, it was observed that the actual image is closer to the ideal image (initial actual image = 6; final actual image = 5, and initial and final ideal Image = 3). Conclusion: The concurrent training program, associated with nutritional counseling, produced positive results in both somatotype and body image perception of the participants, proving its effectiveness in controlling lipodystrophy and improving the body image satisfaction of the evaluated group. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=112863337&site=ehost-live"
"Special Considerations for Designing Wrestling-Specific Resistance-Training Programs.","Murlasits, Zsolt","Strength & Conditioning Journal",="15241602",,="20040601","26","3","46","5","13461958",,,"Article","WRESTLING; SPORTS personnel; BODY weight; PHYSICAL education; ISOMETRIC exercise; EXERCISE",,"The sport of wrestling presents several challenges to the strength and conditioning professional, such as bodyweight restriction, concurrent strength and endurance training, specific injury patterns, and unique metabolic demands, which can be resolved by designing the resistance-training program to match these requirements. This article offers recommendations for the implementation of an effective resistance-training program for wrestling. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=13461958&site=ehost-live"
"Specificity of endurance, sprint and strength training on physical performance capacity in young athletes.","Hakkinen, K.; Mero, A.; Kauhanen, H.","Journal of Sports Medicine & Physical Fitness",="00224707",,="19890301","29","1","27","9","SPH242279",,,"Article","SPRINTING -- Training; TRAINING; PHYSICAL fitness; RUNNING; SPRINTING; WEIGHT lifting; ACHIEVEMENT; ADAPTATION (Physiology); AEROBIC capacity; TEENAGERS; ABILITY; CHILDREN",,"Three prepubescent athlete groups of endurance runners (E), sprinters (S) and weightlifters (WL) and one control group (C) as well as one junior but postpubescent weightlifter group (JWL) volunteered as subjects in order to investigate specific effects of endurance, sprint and strength training on physical performance capacity during a 1 year follow-up period. The prepubescent WL-group demonstrated greater maximal muscular strength than the E-group and the WL-group increased its strength greatly by 21.4 percent during the follow-up. Both the WL and S groups demonstrated a slightly better force-time curve recorded from the leg extensor muscle than the E-group and significant increases occurred in these two groups in dynamic explosive performance during the follow-up. The postpubescent JWL-group demonstrated much greater muscular mass and maximal strength than the prepubescent groups. The present findings demonstrate that specific effects of endurance as well as strength training on physical performance capacity were rather clearly observable among prepubescent athletes, while effects of sprint training did not differ very much from those of strength training. Among junior but post-pubescent weightlifter typical specific effects of heavy resistance strength training on the neuromuscular system were clearly observable and comparable to those adaptations reported to take place among adult strength athletes.","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=SPH242279&site=ehost-live"
"Sports-Specific Adaptations and Differentiation of the Athlete's Heart.","Urhausen, A.; Kindermann, W.","Sports Medicine",="01121642",,="19991001","28","4","237","8","9593861",,,"Article","PHYSICAL education; ECHOCARDIOGRAPHY; HEART size",,"Although the sports-specific adaptations and differentiation of an athlete's heart (AH) were first described 100 years ago, the condition is still an area of active debate. In clinical practice, there is often an obvious lack of basic knowledge concerning the prerequisites and well established extent of the structural and functional characteristics of an AH. Some misunderstandings arise from the somewhat misleading term ‘athlete's heart’ because not every athlete, even if he or she is training and competing at a very high level, develops an enlarged heart. Such a condition can only be expected after years of quantitative and qualitative demanding aerobic endurance training. Although the correlation with competitive performance of endurance events is rather low in trained athletes, the relationship between heart dimensions and ergometric performance represents an important criterion for differentiation between physiological and pathological cardiac enlargement. The assessment of measures exceeding the usual clinical limits, especially concerning volume-dependent echocardiographic parameters, also requires consideration of the strong influence of anthropometric data. The existence of a concentric left ventricular hypertrophy (LVH) in strength-trained athletes is still a topic of debate in the literature, but is rejected by most recent well-conducted trials. In our review, only bodybuilders using anabolic steroids exhibited a distinctly higher hypertrophic index compared with all other groups of endurance or strength athletes. Current unsolved issues in clinical sports medicine concern the early detection of myocardial complications in athletes exercising during infectious diseases, and the eligibility for competitive sport in cases of borderline LVH. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=9593861&site=ehost-live"
"Sprint and Strength Training Modulates Autophagy and Proteostasis in Aging Sprinters.","HENTILÄ, JAAKKO; HULMI, JUHA J.; LAAKKONEN, EIJA K.; AHTIAINEN, JUHA P.; SUOMINEN, HARRI; KORHONEN, MARKO T.","Medicine & Science in Sports & Exercise",="01959131",,="20200901","52","9","1948","12","145105735",,,"Article","AGING; ATHLETIC ability; EXERCISE physiology; HOMEOSTASIS; SPRINTING; PROTEINS; QUADRICEPS muscle; HIGH-intensity interval training; AUTOPHAGY; BIOPSY; STATISTICAL sampling; WESTERN immunoblotting; TASK performance; RANDOMIZED controlled trials",,"Supplemental digital content is available in the text. Purpose: Exercise and aging may modulate muscle protein homeostasis and autophagy, but few studies examine highly trained middle-age or older individuals. This study elucidated the effects of a new long-term training stimulus on markers of muscle autophagy and unfolded protein response (UPR) and on sprint running performance in masters sprinters. Methods: Thirty-two male competitive sprinters (age 40–76 yr) were randomly divided into experimental (EX) and control (CTRL) groups. The EX training program was a combination of heavy and explosive strength and sprint exercises aimed at improving sprint performance. Fifteen and thirteen participants completed the 20-wk intervention period in EX and CTRL, respectively. The latter were told to continue their routine exercises. Key protein markers were analyzed by Western blotting from vastus lateralis (VL) muscle biopsies. The muscle thickness of VL was analyzed by ultrasonography and sprint performance by a 60-m running test. Results: EX induced improvement in 60-m sprint performance when compared with controls (time–group, P = 0.003) without changes in VL muscle thickness. Content of lipidated microtubule-associated protein 1A/1B-light chain 3 (LC3-II) increased in EX (P = 0.022), suggesting increased autophagosome content. In addition, an autophagosome clearance marker sequestosome 1 (p62) decreased in EX (P = 0.006). Markers of UPR selectively modulated with decreases (e.g., ATF4, P = 0.003) and increases (e.g., EIF2α, P = 0.019) observed in EX. Conclusions: These findings suggest that a new intensive training stimulus that combines strength training with sprint training may increase muscle autophagosome content in a basal state without any evidence of impaired autophagosome clearance in masters sprinters. Simultaneously, the combined training may have a selective effect on the content of UPR signaling components. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=145105735&site=ehost-live"
"Sprint development practices in elite football code athletes.","Nicholson, Ben; Dinsdale, Alex; Jones, Ben; Heyward, Omar; Till, Kevin","International Journal of Sports Science & Coaching",="17479541",,="20220201","17","1","95","19","154664608",,,"Article","STRENGTH training; SPRINTING; WARMUP; SPRINTING training; FOOTBALL; ATHLETES",,"Despite the importance and complexity of developing sprint performance in football code athletes, there are limited studies exploring practitioners' practices to improves Sprinting. Therefore, this study aimed to describe and evaluate the practices used with elite football code athletes to develop sprint performance. Ninety subjects completed a survey comprised of four sections (coaching demographic, evaluation of training, organisation of training, and training protocols). Survey responses showed that 98% of practitioners monitor sprint performance, and 92% integrated monitoring strategies into sprint development programmes to inform training. All practitioners used combined training methods including specific (e.g., sprints with or without overload) and non-specific (e.g., strength training or plyometrics) methods targeting the underpinning determinants of sprint performance. Most practitioners reported prescribing 1–3 or 2–4 days · wk−1 for sprint development, both in-season and pre-season. Sprint development programmes were uncommon in the off-season. Most specific sprint training sessions were reportedly shorter in duration (5–15 and 15–30min) than non-specific sprint training methods (30–45 and >45min) irrespective of the season phases. Sprint development was integrated before and after sport-specific training, regularly using warm-ups and gym sessions. Specific training methods were also implemented in separate sessions. The specific content (e.g., exercise selection, training load prescription) was highly variable between practitioners. This study represents the first detailed survey (practices and justification) of sprint development practices (evaluation and organisation of training protocols) in football code cohorts. These findings present multiple methods of structuring, integrating and manipulating sprint training based on the training aims and the individual context. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=154664608&site=ehost-live"
"Static balance adaptations after neuromuscular electrical stimulation on quadriceps and lumbar paraspinal muscles in healthy elderly.","Bondi, Danilo; Jandova, Tereza; Verratti, Vittore; D'Amico, Moreno; Kinel, Edyta; D'Attilio, Michele; Di Filippo, Ester Sara; Fulle, Stefania; Pietrangelo, Tiziana","Sport Sciences for Health",="18247490",,="20220301","18","1","85","12","155868602",,,"Article","ELECTRIC stimulation; LUMBAR vertebrae; QUADRICEPS muscle; OLDER people; STRENGTH training; EXERCISE therapy",,"Background: Strength training as neuromuscular electrical stimulation (NMES) is effective in counteracting age-related postural impairments in elderly. However, it remains unknown whether training different muscle groups would entail in different adaptations. Aim: To evaluate the effect of NMES training on balance function in healthy inactive elderly, targeting paravertebral muscles, in addition to thigh muscles. Methods: Eleven healthy elderly were trained with NMES for 8 week allocated to combined training (CT: quadriceps and lumbar paraspinal muscles) or to quadriceps training (QT), after completing lifestyle questionnaire and spine morphology measurements. Functional balance, static stabilometry, and isometric strength tests were assessed before and after the training period. Results and conclusion: The CT group showed a greater improve in static balance control, i.e., reducing the CEA of the CoP displacement from 99 ± 38 to 76 ± 42 mm2 (Cohen's d = 0.947). Benefits for improving static balance through CT might be due to NMES training, which increases spinal stabilization. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=155868602&site=ehost-live"
"Stength [sic], endurance or combined training elicit diverse skeletal muscle myosin heavy chain isoform proportion but unaltered androgen receptor concentration in older men.","Ahtiainen JP; Hulmi JJ; Kraemer WJ; Lehti M; Pakarinen A; Mero AA; Karavirta L; Sillanpää E; Selänne H; Alen M; Komulainen J; Kovanen V; Nyman K; Häkkinen K","International Journal of Sports Medicine",="01724622",,="20091201","30","12","879","9","105273654",,,"Journal Article",,,"We investigated whether the myosin heavy chain (MyHC) proportion and androgen receptor (AR) concentration in skeletal muscle differ following 21 weeks of strength, endurance and combined training in untrained older men. Strength (S) and endurance (E) groups trained twice per week and combined (S+E) group trained four times per week (two strength and two endurance). Muscle biopsies were obtained before and after the training period from m. vastus lateralis (VL) and AR mRNA and protein concentration and MyHC proportion were determined. 1RM increased during the training period in S, S+E and E but the changes were greater in S and S+E than in E. Statistically significant increases were observed only in S and S+E in maximal isometric force as well as in VL thickness. VO (2max) increased significantly only in E. MyHCIIa proportion increased in S, while MyHCIIa proportion decreased and MyHCI increased (p<0.05) in E. No statistically significant changes were observed in serum testosterone and in AR mRNA or protein concentrations. The present results indicate that 21 weeks of strength, endurance or combined training changed MyHC proportion according to the training method but did not have an effect on AR mRNA or protein expression in skeletal muscle at rest. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=105273654&site=ehost-live"
"Stength, Endurance or Combined Training Elicit Diverse Skeletal Muscle Myosin Heavy Chain Isoform Proportion but Unaltered Androgen Receptor Concentration in Older Men.","Ahtiainen, J. P.; HuImi, J. J.; Kraemer, W. J.; Lehti, M.; Pakarinen, A.; Mero, A. A.; Karavirta, L.; Sillanpää, E.; Selänne, H.; AIen, M.; Komulainen, J.; Kovanen, V.; Nyman, K.; Häkkinen, K.","International Journal of Sports Medicine",="01724622",,="20091201","30","12","879","9","47489611",,,"Article","MYOSIN; ANDROGENS; VASTUS lateralis; PHYSICAL fitness; TESTOSTERONE; MESSENGER RNA; HEALTH of older men",,"We investigated whether the myosin heavy chain (MyHC) proportion and androgen receptor (AR) concentration in skeletal muscle differ following 21 weeks of strength, endurance and combined training in untrained older men. Strength (5) and endurance (E) groups trained twice per week and combined (S+E) group trained four times per week (two strength and two endurance). Muscle biopsies were obtained before and after the training period from m. vastus lateralis (VL) and AR mRNA and protein concentration and MyHC proportion were determined. IRM increased during the training period in 5, S+E and E but the changes were greater in Sand S+E than in E. Statistically significant increases were observed only in S and S+E in maximal isometric force as well as in VL thickness. VO2max increased significantly only in E. MyHClla proportion increased in 5, while MyHClla proportion decreased and MyHCI increased (p<0.05) in E. No statistically significant changes were observed in serum testosterone and in AR mRNA or protein concentrations. The present results indicate that 21 weeks of strength, endurance or combined training changed MyHC proportion according to the training method but did not have an effect on AR mRNA or protein expression in skeletal muscle at rest. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=47489611&site=ehost-live"
"Step training plus: the way to fitness.","Mazzeo, K.S.; Mangili, L.M.",,,="0895822555",="19930101",,,,,"SPH422635",,"Morton Publishing company","Monograph or government document","AEROBIC exercises; STEP aerobics",,,"https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=SPH422635&site=ehost-live"
"Stepwise Load Reduction Training: A New Training Concept for Skeletal Muscle and Energy Systems.","Ozaki, Hayao; Abe, Takashi; Loenneke, Jeremy P.; Katamoto, Shizuo","Sports Medicine",="01121642",,="20201201","50","12","2075","7","147068714",,,"Article","PHYSIOLOGICAL adaptation; ATHLETIC ability; CONVALESCENCE; ENERGY metabolism; EXERCISE physiology; MUSCLE strength; PHYSICAL fitness; AEROBIC capacity; ANAEROBIC exercises; PHYSICAL training & conditioning; EXERCISE intensity; SKELETAL muscle; RESISTANCE training",,"An increased ability to supply energy to skeletal muscle is expected to contribute to greater athletic performance, and therefore, a variety of training methods are used for improving these energy supply systems. These methods are classified into two broad categories: a bout of continuous exercise at a given load/intensity and intermittent bouts of exercise at a given load/intensity with recovery intervals. Interestingly, recent work suggests that a training method which starts at a high load/intensity and gradually decreases the exercise load/intensity within a given training set (stepwise load reduction training) may provide a range of adaptations. In resistance training, the load starts off high and is then reduced as the set continues which is expected to simultaneously increase muscle strength, endurance, and size. In training focused on aerobic and anaerobic metabolic systems, intensity starts off high and is then reduced as the exercise continues which is expected to simultaneously increase maximal anaerobic power, anaerobic capacity, and aerobic capacity. Because stepwise load reduction training has no recovery intervals between each load/intensity, the training effects are achieved within a short time per session (several minutes). However, only minimal evidence exists to support the effects of stepwise load reduction training; therefore, further studies with larger samples are needed. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=147068714&site=ehost-live"
"Strategies to Optimize Concurrent Training of Strength and Aerobic Fitness for Rowing and Canoeing.","García-Pallarés, Jesús; Izquierdo, Mikel","Sports Medicine",="01121642",,="20110401","41","4","329","15","104713670",,,"Journal Article",,,"During the last several decades many researchers have reported an interference effect on muscle strength development when strength and endurance were trained concurrently. The majority of these studies found that the magnitude of increase in maximum strength was higher in the group that performed only strength training compared with the concurrent training group, commonly referred to as the 'interference phenomenon'. Currently, concurrent strength and endurance training has become essential to optimizing athletic performance in middle- and long-distance events. Rowing and canoeing, especially in the case of Olympic events, with exercise efforts between 30 seconds and 8 minutes, require high amounts of maximal aerobic and anaerobic capacities as well as high levels of maximum strength and muscle power. Thus, strength training, in events such as rowing and canoeing, is integrated into the training plan. However, several studies indicate that the degree of interference is affected by the training protocols and there may be ways in which the interference effect can be minimized or avoided. Therefore, the aim of this review is to recommend strategies, based on research, to avoid or minimize any interference effect when training to optimize performance in endurance sports such as rowing and canoeing. ABSTRACT FROM AUTHOR","https://search.ebscohost.com/login.aspx?direct=true&db=sph&AN=104713670&site=ehost-live"
